metric_id,asset_id,reporting_month,region,channel,impressions,views,unique_users,downloads,clicks,conversions,average_time_seconds,bounce_rate
26,7,2026-04-01,Global,Partner Portal,6542,4498,3857,284,465,28,117.2,24.7
27,7,2026-05-01,Global,Partner Portal,5261,3753,2605,562,358,33,231.3,67.8
28,7,2026-06-01,Global,Partner Portal,6064,3614,2397,294,709,82,146.2,56.4
29,8,2026-03-01,Global,Partner Portal,3892,2090,1590,333,155,26,51.4,30.5
30,8,2026-04-01,Global,Partner Portal,5551,3203,2196,181,608,40,156.9,50.5
31,8,2026-05-01,Global,Partner Portal,5373,2884,2210,492,238,32,83.9,40.2
32,8,2026-06-01,Global,Partner Portal,6406,2639,1869,383,204,20,239.7,67.8
33,9,2026-03-01,Global,Partner Portal,3933,1470,1020,250,427,69,110.8,29.3
34,9,2026-04-01,Global,Partner Portal,6184,3645,2884,649,538,16,202.5,35.8
35,9,2026-05-01,Global,Partner Portal,6057,4198,2760,235,213,24,90.8,49.8
36,9,2026-06-01,Global,Partner Portal,6541,2417,1927,186,467,77,208.5,26.2
37,10,2026-03-01,Global,Website,7694,3090,1918,457,658,45,187.0,47.4
38,10,2026-04-01,Global,Website,8173,2323,1489,380,906,101,206.1,48.8
39,10,2026-05-01,Global,Website,7383,2481,1752,411,742,118,219.3,31.7
40,10,2026-06-01,Global,Website,8257,2685,2251,439,525,64,66.7,64.8
41,11,2026-03-01,Global,Website,9458,6710,5683,1096,258,36,103.1,64.8
42,11,2026-04-01,Global,Website,9761,6444,5458,498,974,45,213.8,61.5
43,11,2026-05-01,Global,Website,7716,4932,3693,408,775,49,39.9,30.9
44,11,2026-06-01,Global,Website,8629,5697,5074,450,741,66,236.1,46.7
45,12,2026-03-01,EMEA,Website,9756,3226,2876,209,1135,79,57.2,42.0
46,12,2026-04-01,EMEA,Website,9449,3949,3118,440,581,67,87.2,54.6
47,12,2026-05-01,EMEA,Website,6727,4623,3563,650,642,83,109.7,25.2
48,12,2026-06-01,EMEA,Website,10215,4344,3075,689,953,71,98.4,40.8
49,13,2026-03-01,North America,Email,11414,4680,3068,98,1305,171,220.1,24.6
50,13,2026-04-01,North America,Email,11454,5968,3700,85,754,88,169.2,20.6
51,13,2026-05-01,North America,Email,13051,4881,3672,219,1313,72,52.4,21.9
52,13,2026-06-01,North America,Email,15101,6455,5481,242,1342,85,75.8,8.7
53,14,2026-03-01,North America,Email,10469,5119,4391,18,673,83,74.9,26.8
54,14,2026-04-01,North America,Email,12684,4913,3948,1,1221,177,56.9,19.5
55,14,2026-05-01,North America,Email,11261,7899,6042,19,548,86,128.6,29.6
56,14,2026-06-01,North America,Email,15346,10967,8628,520,1683,205,182.5,21.6
57,15,2026-03-01,North America,Email,13983,7286,6347,270,980,67,85.7,25.2
58,15,2026-04-01,North America,Email,14410,7340,5838,100,466,33,90.7,16.6
59,15,2026-05-01,North America,Email,13709,4673,3199,162,1262,50,118.6,22.7
60,15,2026-06-01,North America,Email,13563,5031,3711,227,1091,146,210.6,28.7
61,16,2026-03-01,EMEA,Website,7521,2125,1526,309,797,137,120.9,56.4
62,16,2026-04-01,EMEA,Website,8675,4731,3225,334,576,19,103.9,53.2
63,16,2026-05-01,EMEA,Website,8531,3008,2258,174,717,24,115.8,48.0
64,16,2026-06-01,EMEA,Website,7207,4056,2668,424,214,18,78.4,37.0
65,17,2026-03-01,Global,Video Platform,7914,3536,2936,147,387,16,39.0,46.8
66,17,2026-04-01,Global,Video Platform,9274,4024,3227,157,806,115,229.7,31.2
67,17,2026-05-01,Global,Video Platform,5959,2068,1355,69,468,29,178.4,57.3
68,17,2026-06-01,Global,Video Platform,6887,3768,3125,21,708,123,57.2,23.2
69,18,2026-03-01,North America,Partner Portal,4529,2617,2324,250,420,17,176.6,50.9
70,18,2026-04-01,North America,Partner Portal,4245,2631,2257,326,154,27,195.4,38.0
71,18,2026-05-01,North America,Partner Portal,5399,2392,1821,209,570,87,56.6,66.2
72,18,2026-06-01,North America,Partner Portal,6299,4060,3321,409,596,104,90.4,59.2
73,19,2026-03-01,EMEA,Email,12229,6025,4470,220,617,97,205.3,10.3
74,19,2026-04-01,EMEA,Email,15147,5866,4400,179,924,31,209.4,12.9
75,19,2026-05-01,EMEA,Email,11505,7260,5193,319,1054,75,37.1,33.6
76,19,2026-06-01,EMEA,Email,11226,6700,5070,253,1017,129,135.6,29.4
77,20,2026-03-01,North America,Partner Portal,3982,1503,1222,124,319,32,143.8,41.6
78,20,2026-04-01,North America,Partner Portal,5951,2532,2068,197,290,13,74.5,27.5
79,20,2026-05-01,North America,Partner Portal,5700,3507,2356,246,404,56,235.2,46.1
80,20,2026-06-01,North America,Partner Portal,5259,1705,1149,122,221,7,144.5,34.6
81,21,2026-03-01,Global,Website,9897,5180,4223,298,1063,110,213.9,48.4
82,21,2026-04-01,Global,Website,8350,3956,2656,186,955,97,203.5,40.4
83,21,2026-05-01,Global,Website,7051,3927,2493,239,553,41,238.8,27.4
84,21,2026-06-01,Global,Website,10688,5843,4916,418,797,77,125.8,61.6
85,22,2026-03-01,Global,Partner Portal,6225,2579,2047,323,593,102,77.6,31.7
86,22,2026-04-01,Global,Partner Portal,5725,1998,1335,100,144,14,156.7,35.4
87,22,2026-05-01,Global,Partner Portal,4848,2865,2340,296,437,73,196.5,50.8
88,22,2026-06-01,Global,Partner Portal,6375,4403,3253,511,551,91,204.5,25.3
89,23,2026-03-01,EMEA,Website,6663,2767,2295,331,349,16,176.2,54.2
90,23,2026-04-01,EMEA,Website,10356,5180,3927,265,298,28,101.1,33.5
91,23,2026-05-01,EMEA,Website,7129,5013,4281,604,822,147,172.8,34.4
92,23,2026-06-01,EMEA,Website,7269,4454,3348,584,814,46,155.0,51.2
93,24,2026-03-01,Global,Internal Portal,2489,796,571,13,220,34,102.6,53.9
94,24,2026-04-01,Global,Internal Portal,2369,1648,1397,45,161,12,101.3,66.6
95,24,2026-05-01,Global,Internal Portal,2665,1349,1209,44,203,18,73.5,38.6
96,24,2026-06-01,Global,Internal Portal,3328,1847,1538,18,256,43,124.8,54.1
97,25,2026-03-01,Global,Partner Portal,4053,2870,2268,210,162,18,148.2,26.3
98,25,2026-04-01,Global,Partner Portal,6604,4501,3372,254,687,71,181.9,45.4
99,25,2026-05-01,Global,Partner Portal,4965,3213,2873,238,384,33,224.0,45.4
100,25,2026-06-01,Global,Partner Portal,7019,4633,3230,697,452,76,139.1,59.7
101,26,2026-03-01,EMEA,Website,7131,2933,2300,527,509,26,145.4,37.9
102,26,2026-04-01,EMEA,Website,8700,4516,3375,384,373,50,152.2,32.7
103,26,2026-05-01,EMEA,Website,10194,3050,2526,423,1040,91,171.1,59.8
104,26,2026-06-01,EMEA,Website,11709,5830,3675,643,949,152,214.2,42.3
105,27,2026-03-01,North America,Website,8103,3897,3204,379,706,37,131.2,66.6
106,27,2026-04-01,North America,Website,7795,4558,3655,725,826,131,112.9,36.6
107,27,2026-05-01,North America,Website,9939,6103,5274,274,313,39,223.8,67.9
108,27,2026-06-01,North America,Website,10604,4993,3233,642,1144,110,177.3,63.6
109,28,2026-03-01,Global,Social Media,13913,8769,6157,164,540,59,151.0,58.5
110,28,2026-04-01,Global,Social Media,15931,5014,4331,155,762,127,64.3,43.2
111,28,2026-05-01,Global,Social Media,17680,6936,4318,279,1955,257,67.4,42.3
112,28,2026-06-01,Global,Social Media,19599,10554,8431,223,955,149,75.8,39.7
113,29,2026-03-01,Global,Email,11899,4573,3567,131,1419,105,235.5,25.8
114,29,2026-04-01,Global,Email,11285,5969,4846,222,334,40,136.8,32.4
115,29,2026-05-01,Global,Email,12003,7579,5987,133,1026,126,173.9,27.5
116,29,2026-06-01,Global,Email,15287,9919,7894,448,1320,100,125.4,23.6
117,30,2026-03-01,EMEA,Website,8929,2854,2005,412,372,18,145.6,66.7
118,30,2026-04-01,EMEA,Website,8610,5871,5005,446,889,90,200.3,56.3
119,30,2026-05-01,EMEA,Website,8237,2723,2422,162,962,152,183.5,67.1
120,30,2026-06-01,EMEA,Website,11645,7383,5333,1112,306,33,128.2,53.0
